sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
217V3V4	217V3V4_R1.fastq	217V3V4_R2.fastq	T3	Water	0	D1	D1WT3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
218V3V4	218V3V4_R1.fastq	218V3V4_R2.fastq	T3	Water	0	D4	D4WT3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
219V3V4	219V3V4_R1.fastq	219V3V4_R2.fastq	T4	Water	0	C1	C1WT4	0	0	0	0	0	0	0	2	0	2
220V3V4	220V3V4_R1.fastq	220V3V4_R2.fastq	T4	Water	0	C2	C2WT4	0	0	0	0	0	0	0	2	0	4
221V3V4	221V3V4_R1.fastq	221V3V4_R2.fastq	T4	Water	0	C3	C3WT4	2.113821138	0	7.64	2.57	160	32.22	5.81	1	1	1
222V3V4	222V3V4_R1.fastq	222V3V4_R2.fastq	T4	Water	0	C4	C4WT4	0	0	0	0	0	0	0	2	0	4
223V3V4	223V3V4_R1.fastq	223V3V4_R2.fastq	T4	Water	0	C5	C5WT4	0	0	0	0	0	0	0	2	0	3
224V3V4	224V3V4_R1.fastq	224V3V4_R2.fastq	T4	Water	0	C6	C6WT4	2.777777778	0	7.77	3.18	160	32	6.53	1	1	1
225V3V4	225V3V4_R1.fastq	225V3V4_R2.fastq	T4	Water	0	C7	C7WT4	0	0	0	0	0	0	0	2	0	3
226V3V4	226V3V4_R1.fastq	226V3V4_R2.fastq	T4	Water	0	C8	C8WT4	0	0	0	0	0	0	0	2	0	2
227V3V4	227V3V4_R1.fastq	227V3V4_R2.fastq	T4	Water	0	D1	D1WT4	3.16344464	0.02	7.54	3.74	148.25	32.49	5.69	1	1	1
228V3V4	228V3V4_R1.fastq	228V3V4_R2.fastq	T4	Water	0	D2	D2WT4	0	0	0	0	0	0	0	2	0	4
229V3V4	229V3V4_R1.fastq	229V3V4_R2.fastq	T4	Water	0	D3	D3WT4	0	0	0	0	0	0	0	2	0	2
230V3V4	230V3V4_R1.fastq	230V3V4_R2.fastq	T4	Water	0	D4	D4WT4	1.302931596	0	7.68	3.77	154.75	31.95	5.31	1	1	1
231V3V4	231V3V4_R1.fastq	231V3V4_R2.fastq	T4	Water	0	D5	D5WT4	0	0	0	0	0	0	0	2	0	3
232V3V4	232V3V4_R1.fastq	232V3V4_R2.fastq	T4	Water	0	D6	D6WT4	0	0	0	0	0	0	0	2	0	4
233V3V4	233V3V4_R1.fastq	233V3V4_R2.fastq	T4	Water	0	D7	D7WT4	0	0	0	0	0	0	0	2	0	2
234V3V4	234V3V4_R1.fastq	234V3V4_R2.fastq	T4	Water	0	D8	D8WT4	0	0	0	0	0	0	0	2	0	3
